votes,name,value,link
494,4,"My computer boots to a black screen, what options do I have to fix it?",https://askubuntu.com/questions?tab=frequent&page=1
565,5,How do I install Ubuntu alongside a pre-installed Windows with UEFI?,https://askubuntu.com/questions?tab=frequent&page=1
167,6,How do I install Ubuntu?,https://askubuntu.com/questions?tab=frequent&page=1
358,7,Installing Broadcom Wireless Drivers,https://askubuntu.com/questions?tab=frequent&page=1
437,8,How to install software or upgrade from an old unsupported release?,https://askubuntu.com/questions?tab=frequent&page=1
204,9,How to remove Ubuntu and put Windows back on?,https://askubuntu.com/questions?tab=frequent&page=1
588,10,How do I resolve unmet dependencies after adding a PPA?,https://askubuntu.com/questions?tab=frequent&page=1
364,11,How can I repair grub? (How to get Ubuntu back after installing Windows?),https://askubuntu.com/questions?tab=frequent&page=1
465,12,How do I report a bug?,https://askubuntu.com/questions?tab=frequent&page=1
154,13,How do I find out which version and derivative of Ubuntu is right for my hardware in terms of minimal system requirements?,https://askubuntu.com/questions?tab=frequent&page=1
124,14,How to resize partitions?,https://askubuntu.com/questions?tab=frequent&page=1
701,15,How do I reset a lost administrative password?,https://askubuntu.com/questions?tab=frequent&page=1
516,16,Ubuntu gets stuck in a login loop,https://askubuntu.com/questions?tab=frequent&page=1
562,17,"Unity doesn't load, no Launcher, no Dash appears",https://askubuntu.com/questions?tab=frequent&page=1
277,18,"Unable to correct problems, you have held broken packages",https://askubuntu.com/questions?tab=frequent&page=1
289,4,How can I fix a 404 Error when using a PPA or updating my package lists?,https://askubuntu.com/questions?tab=frequent&page=2
104,5,My wireless/WiFi connection does not work. What information is needed to diagnose the issue?,https://askubuntu.com/questions?tab=frequent&page=2
271,6,How to use manual partitioning during installation?,https://askubuntu.com/questions?tab=frequent&page=2
352,7,Unable to mount Windows (NTFS) filesystem due to hibernation,https://askubuntu.com/questions?tab=frequent&page=2
1086,8,Unable to lock the administration directory (/var/lib/dpkg/) is another process using it?,https://askubuntu.com/questions?tab=frequent&page=2
76,9,What can I do if a repository/PPA does not have a Release file?,https://askubuntu.com/questions?tab=frequent&page=2
56,10,How do I recover my accidentally lost Windows partitions after installing Ubuntu?,https://askubuntu.com/questions?tab=frequent&page=2
183,11,How do I install Ubuntu to a USB key? (without using Startup Disk Creator),https://askubuntu.com/questions?tab=frequent&page=2
656,12,What should I do when Ubuntu freezes?,https://askubuntu.com/questions?tab=frequent&page=2
269,13,How can I install software or packages without Internet (offline)?,https://askubuntu.com/questions?tab=frequent&page=2
74,14,How do I remove a malformed line from my sources.list?,https://askubuntu.com/questions?tab=frequent&page=2
198,15,How do I enable the “Universe” repository?,https://askubuntu.com/questions?tab=frequent&page=2
40,16,"Unable to boot into Windows after installing Ubuntu, how to fix?",https://askubuntu.com/questions?tab=frequent&page=2
131,17,What hardware does Ubuntu Touch support?,https://askubuntu.com/questions?tab=frequent&page=2
157,18,How do I restore the default repositories?,https://askubuntu.com/questions?tab=frequent&page=2
250,4,How can I install Windows after I've installed Ubuntu?,https://askubuntu.com/questions?tab=frequent&page=3
518,5,What are PPAs and how do I use them?,https://askubuntu.com/questions?tab=frequent&page=3
165,6,How do I install the Nvidia drivers?,https://askubuntu.com/questions?tab=frequent&page=3
180,7,"I have a hardware detection problem, what logs do I need to look into?",https://askubuntu.com/questions?tab=frequent&page=3
113,8,What are the system requirements for each flavour of Ubuntu Desktop?,https://askubuntu.com/questions?tab=frequent&page=3
127,9,Can I skip over releases when upgrading?,https://askubuntu.com/questions?tab=frequent&page=3
541,10,How do I install a .tar.gz (or .tar.bz2) file?,https://askubuntu.com/questions?tab=frequent&page=3
575,11,How do I free up more space in /boot?,https://askubuntu.com/questions?tab=frequent&page=3
418,12,How do I fix the GPG error “NO_PUBKEY”?,https://askubuntu.com/questions?tab=frequent&page=3
437,13,How do I upgrade to a newer version of Ubuntu?,https://askubuntu.com/questions?tab=frequent&page=3
493,14,How can I create a Windows bootable USB stick using Ubuntu?,https://askubuntu.com/questions?tab=frequent&page=3
292,15,How to fix “The system is running in low-graphics mode” error?,https://askubuntu.com/questions?tab=frequent&page=3
159,16,Why don't the Ubuntu repositories have the latest versions of software?,https://askubuntu.com/questions?tab=frequent&page=3
43,17,Will my device work with Ubuntu?,https://askubuntu.com/questions?tab=frequent&page=3
100,18,How can I install Windows software or games?,https://askubuntu.com/questions?tab=frequent&page=3
34,4,What is the proper way of creating installation media from Ubuntu iso?,https://askubuntu.com/questions?tab=frequent&page=4
130,5,"dpkg error: “trying to overwrite file, which is also in…”",https://askubuntu.com/questions?tab=frequent&page=4
172,6,Is a NVIDIA GeForce with Optimus Technology supported by Ubuntu?,https://askubuntu.com/questions?tab=frequent&page=4
213,7,How to customize the Ubuntu Live CD?,https://askubuntu.com/questions?tab=frequent&page=4
380,8,How do I start applications automatically on login?,https://askubuntu.com/questions?tab=frequent&page=4
165,9,What is the correct way to install proprietary ATI Catalyst Video Drivers (fglrx) directly from AMD?,https://askubuntu.com/questions?tab=frequent&page=4
144,10,"What are the differences between 32-bit and 64-bit, and which should I choose?",https://askubuntu.com/questions?tab=frequent&page=4
721,11,How do I remove old kernel versions to clean up the boot menu?,https://askubuntu.com/questions?tab=frequent&page=4
86,12,How do I install applications in Ubuntu?,https://askubuntu.com/questions?tab=frequent&page=4
57,13,How do I get a Realtek RTL8723BE wireless card to work?,https://askubuntu.com/questions?tab=frequent&page=4
60,14,What's a good back-up strategy for 1 desktop PC?,https://askubuntu.com/questions?tab=frequent&page=4
315,15,Are PPAs safe to add to my system and what are some “red flags” to watch out for?,https://askubuntu.com/questions?tab=frequent&page=4
570,16,How can I install Sun/Oracle's proprietary Java JDK 6/7/8 or JRE?,https://askubuntu.com/questions?tab=frequent&page=4
139,17,How to roll back Ubuntu to a previous version?,https://askubuntu.com/questions?tab=frequent&page=4
487,18,How do I install Guest Additions in a VirtualBox VM?,https://askubuntu.com/questions?tab=frequent&page=4
93,4,Why do I get “Required key not available” when install 3rd party kernel modules or after a kernel upgrade?,https://askubuntu.com/questions?tab=frequent&page=5
69,5,How can I install Ubuntu without removing Windows?,https://askubuntu.com/questions?tab=frequent&page=5
1192,6,How do I install a .deb file via the command line?,https://askubuntu.com/questions?tab=frequent&page=5
134,7,How to recover deleted files?,https://askubuntu.com/questions?tab=frequent&page=5
116,8,How do I set 'nomodeset' after I've already installed Ubuntu?,https://askubuntu.com/questions?tab=frequent&page=5
185,9,How to avoid using sudo when working in /var/www?,https://askubuntu.com/questions?tab=frequent&page=5
369,10,How do I fix a “Problem with MergeList” or “status file could not be parsed” error when trying to do an update?,https://askubuntu.com/questions?tab=frequent&page=5
61,11,"What if I accidentally run command “chmod -R” on system directories (/, /etc, …)",https://askubuntu.com/questions?tab=frequent&page=5
13,12,Dual boot Win 8 / Ubuntu loads only Win,https://askubuntu.com/questions?tab=frequent&page=5
46,13,Bluetooth Broadcom 43142 isn't working,https://askubuntu.com/questions?tab=frequent&page=5
591,14,How to run scripts on start up?,https://askubuntu.com/questions?tab=frequent&page=5
423,15,How to prevent updating of a specific package?,https://askubuntu.com/questions?tab=frequent&page=5
253,16,“Unable to locate package” while trying to install packages with APT,https://askubuntu.com/questions?tab=frequent&page=5
142,17,How do I use 'chmod' on an NTFS (or FAT32) partition?,https://askubuntu.com/questions?tab=frequent&page=5
184,18,Graphics issues after/while installing Ubuntu 16.04/16.10 with NVIDIA graphics,https://askubuntu.com/questions?tab=frequent&page=5
419,4,Trouble downloading packages list due to a “Hash sum mismatch” error,https://askubuntu.com/questions?tab=frequent&page=6
35,5,“Install alongside” option missing. How do I install Ubuntu beside Windows using “Something Else”?,https://askubuntu.com/questions?tab=frequent&page=6
1354,6,How can PPAs be removed?,https://askubuntu.com/questions?tab=frequent&page=6
188,7,How can I fix apt error “W: Target Packages … is configured multiple times”?,https://askubuntu.com/questions?tab=frequent&page=6
55,8,Ubuntu 14.04.5/16.04 and newer on AMD graphics,https://askubuntu.com/questions?tab=frequent&page=6
540,9,How do I find the package that provides a file?,https://askubuntu.com/questions?tab=frequent&page=6
281,10,How can I create launchers on my desktop?,https://askubuntu.com/questions?tab=frequent&page=6
161,11,How to update kernel to the latest mainline version without any Distro-upgrade?,https://askubuntu.com/questions?tab=frequent&page=6
36,12,How do I fix this “E: Type '*' is not known on line * in source list …” update error?,https://askubuntu.com/questions?tab=frequent&page=6
183,13,Is there a power saving application similar to Jupiter?,https://askubuntu.com/questions?tab=frequent&page=6
38,14,Nothing shows up in the terminal when I type my password,https://askubuntu.com/questions?tab=frequent&page=6
418,15,What kinds of desktop environments and shells are available?,https://askubuntu.com/questions?tab=frequent&page=6
18,16,How to prepare a disk on an EFI based PC for Ubuntu?,https://askubuntu.com/questions?tab=frequent&page=6
94,17,"Permission denied, are you root?",https://askubuntu.com/questions?tab=frequent&page=6
76,18,How do I install additional drivers?,https://askubuntu.com/questions?tab=frequent&page=6
14,4,Recovering broken or deleted NTFS partitions,https://askubuntu.com/questions?tab=frequent&page=7
796,5,How to add a directory to the PATH?,https://askubuntu.com/questions?tab=frequent&page=7
121,6,Why should users never use normal sudo to start graphical applications?,https://askubuntu.com/questions?tab=frequent&page=7
182,7,How do I install Java?,https://askubuntu.com/questions?tab=frequent&page=7
160,8,My /boot partition hit 100% and now I can't upgrade. Can't remove old kernels to make room,https://askubuntu.com/questions?tab=frequent&page=7
116,9,How do I install and manage GNOME Shell extensions?,https://askubuntu.com/questions?tab=frequent&page=7
45,10,Why don't gksu/gksudo or launching a graphical application with sudo work with Wayland?,https://askubuntu.com/questions?tab=frequent&page=7
193,11,How to install and configure Wine?,https://askubuntu.com/questions?tab=frequent&page=7
25,12,Installing Wi-Fi driver for Realtek Semiconductor RTL8723DE Device [10ec:d723],https://askubuntu.com/questions?tab=frequent&page=7
183,13,How do I reset my Unity configuration?,https://askubuntu.com/questions?tab=frequent&page=7
40,14,How do I make a bootable Ubuntu USB?,https://askubuntu.com/questions?tab=frequent&page=7
116,15,"There's an issue with an Alpha/Beta Release of Ubuntu, what should I do?",https://askubuntu.com/questions?tab=frequent&page=7
99,16,What's the difference between a Long Term Support Release and a Normal Release?,https://askubuntu.com/questions?tab=frequent&page=7
242,17,How to revert to GNOME Classic Desktop?,https://askubuntu.com/questions?tab=frequent&page=7
458,18,How can I edit/create new launcher items in Unity by hand?,https://askubuntu.com/questions?tab=frequent&page=7
132,4,How do I install Skype?,https://askubuntu.com/questions?tab=frequent&page=8
346,5,How can I improve Ubuntu overall system performance?,https://askubuntu.com/questions?tab=frequent&page=8
17,6,Can't format my usb drive. I have already tried with mkdosfs and gparted,https://askubuntu.com/questions?tab=frequent&page=8
229,7,Do I need to have antivirus software installed? [closed],https://askubuntu.com/questions?tab=frequent&page=8
336,8,Comparison of backup tools,https://askubuntu.com/questions?tab=frequent&page=8
541,9,How to install Google Chrome,https://askubuntu.com/questions?tab=frequent&page=8
168,10,How do I install and use the latest version of GNOME?,https://askubuntu.com/questions?tab=frequent&page=8
38,11,"My disk already has 4 primary partitions, how can I install Ubuntu?",https://askubuntu.com/questions?tab=frequent&page=8
80,12,What is a terminal and how do I open and use it?,https://askubuntu.com/questions?tab=frequent&page=8
65,13,How do I add myself back as a sudo user?,https://askubuntu.com/questions?tab=frequent&page=8
48,14,How do I remove “Ubuntu” in the bios boot menu? (UEFI),https://askubuntu.com/questions?tab=frequent&page=8
145,15,How can I change what keys on my keyboard do? (How can I create custom keyboard commands/shortcuts?),https://askubuntu.com/questions?tab=frequent&page=8
13,16,Unable to mount Windows 10 partition; it “is in an unsafe state” [duplicate],https://askubuntu.com/questions?tab=frequent&page=8
210,17,"How can I get apt to use a mirror close to me, or choose a faster mirror?",https://askubuntu.com/questions?tab=frequent&page=8
44,18,How can I dual boot Windows and Ubuntu?,https://askubuntu.com/questions?tab=frequent&page=8
2167,4,How to list all installed packages,https://askubuntu.com/questions?tab=frequent&page=9
21,5,Wi-Fi not working on Lenovo ThinkPad E570 (Realtek RTL8821CE),https://askubuntu.com/questions?tab=frequent&page=9
253,6,Why is “No new release found” when upgrading from a LTS to the next?,https://askubuntu.com/questions?tab=frequent&page=9
107,7,How do I install Adobe Flash player?,https://askubuntu.com/questions?tab=frequent&page=9
362,8,How do I change the GRUB boot order?,https://askubuntu.com/questions?tab=frequent&page=9
722,9,What Application Indicators are available?,https://askubuntu.com/questions?tab=frequent&page=9
524,10,What are Unity's keyboard and mouse shortcuts?,https://askubuntu.com/questions?tab=frequent&page=9
31,11,How do I fix Flash issues?,https://askubuntu.com/questions?tab=frequent&page=9
32,12,True Ubuntu on Chromebook ARM,https://askubuntu.com/questions?tab=frequent&page=9
8,13,Can't boot into Ubuntu in Windows 10 / Ubuntu dual boot,https://askubuntu.com/questions?tab=frequent&page=9
184,14,How do I add a kernel boot parameter?,https://askubuntu.com/questions?tab=frequent&page=9
19,15,How do I install Ubuntu from an USB drive / create a live USB-stick in Windows?,https://askubuntu.com/questions?tab=frequent&page=9
352,16,Clock time is off on dual boot,https://askubuntu.com/questions?tab=frequent&page=9
351,17,How can I accept the Microsoft EULA agreement for ttf-mscorefonts-installer?,https://askubuntu.com/questions?tab=frequent&page=9
104,18,How can I check the SMART status of a SSD or HDD on current versions of Ubuntu 14.04 through 18.10?,https://askubuntu.com/questions?tab=frequent&page=9
302,4,How to backup settings and list of installed packages,https://askubuntu.com/questions?tab=frequent&page=10
254,5,How do I set Windows to boot as the default in the boot loader?,https://askubuntu.com/questions?tab=frequent&page=10
304,6,How can I configure Unity?,https://askubuntu.com/questions?tab=frequent&page=10
64,7,How do you switch from Wayland back to Xorg in Ubuntu 17.10?,https://askubuntu.com/questions?tab=frequent&page=10
209,8,How to control fan speed?,https://askubuntu.com/questions?tab=frequent&page=10
427,9,How to enable hibernation?,https://askubuntu.com/questions?tab=frequent&page=10
116,10,How to automount NTFS partitions?,https://askubuntu.com/questions?tab=frequent&page=10
156,11,How to solve “permission denied” when using sudo with redirection in Bash?,https://askubuntu.com/questions?tab=frequent&page=10
121,12,How to set up USB for Virtualbox?,https://askubuntu.com/questions?tab=frequent&page=10
25,13,Realtek RTL8723BE Wi-Fi incredibly weak,https://askubuntu.com/questions?tab=frequent&page=10
8,14,Boot Ubuntu from external drive [duplicate],https://askubuntu.com/questions?tab=frequent&page=10
236,15,How do I disable X at boot time so that the system boots in text mode?,https://askubuntu.com/questions?tab=frequent&page=10
118,16,How to create UEFI-only bootable USB live media?,https://askubuntu.com/questions?tab=frequent&page=10
326,17,How to get to the GRUB menu at boot-time?,https://askubuntu.com/questions?tab=frequent&page=10
121,18,How can I use Netflix on Ubuntu?,https://askubuntu.com/questions?tab=frequent&page=10
24,4,Acer Aspire E15 will not dual boot,https://askubuntu.com/questions?tab=frequent&page=11
108,5,How to install Ubuntu on VirtualBox?,https://askubuntu.com/questions?tab=frequent&page=11
52,6,How to convert Wubi install into regular install?,https://askubuntu.com/questions?tab=frequent&page=11
33,7,How do I reset a lost password (using recovery mode requires me to type the password)?,https://askubuntu.com/questions?tab=frequent&page=11
569,8,How do I set up a Cron job?,https://askubuntu.com/questions?tab=frequent&page=11
67,9,How to make a persistent live Ubuntu USB with more than 4GB,https://askubuntu.com/questions?tab=frequent&page=11
59,10,How to run scripts without typing the full path?,https://askubuntu.com/questions?tab=frequent&page=11
26,11,How do I install the VirtualBox version from Oracle to install an Extension Pack?,https://askubuntu.com/questions?tab=frequent&page=11
101,12,What are some of the issues with CCSM and why would I want to avoid it?,https://askubuntu.com/questions?tab=frequent&page=11
131,13,What is the easiest way to resolve apt-get BADSIG GPG errors?,https://askubuntu.com/questions?tab=frequent&page=11
139,14,"E: Unable to correct problems, you have held broken packages",https://askubuntu.com/questions?tab=frequent&page=11
95,15,How can I play encrypted DVD movies?,https://askubuntu.com/questions?tab=frequent&page=11
165,16,How to setup an Access Point mode Wi-Fi Hotspot?,https://askubuntu.com/questions?tab=frequent&page=11
119,17,"apt-get update fails to fetch files, “Temporary failure resolving …” error",https://askubuntu.com/questions?tab=frequent&page=11
97,18,How can I resize an LVM partition? (i.e: physical volume),https://askubuntu.com/questions?tab=frequent&page=11
74,4,How do I boot into a root shell?,https://askubuntu.com/questions?tab=frequent&page=12
42,5,Can't boot without Flash Drive plugged in,https://askubuntu.com/questions?tab=frequent&page=12
123,6,Strange artifacts along window borders after waking computer from sleep mode,https://askubuntu.com/questions?tab=frequent&page=12
107,7,How to fix “Package is in a very bad inconsistent state” error?,https://askubuntu.com/questions?tab=frequent&page=12
39,8,Windows 8 removes Grub as default boot manager,https://askubuntu.com/questions?tab=frequent&page=12
32,9,How to install latest HPLIP on my Ubuntu to support my HP printer and/or scanner?,https://askubuntu.com/questions?tab=frequent&page=12
189,10,How to make a disk image and restore from it later?,https://askubuntu.com/questions?tab=frequent&page=12
31,11,How to install Broadcom wireless drivers offline?,https://askubuntu.com/questions?tab=frequent&page=12
434,12,How do I create a permanent Bash alias?,https://askubuntu.com/questions?tab=frequent&page=12
232,13,How do I run specific sudo commands without a password?,https://askubuntu.com/questions?tab=frequent&page=12
133,14,“debconf: DbDriver ”config“: config.dat is locked by another process: Resource temporarily unavailable” while installing packages,https://askubuntu.com/questions?tab=frequent&page=12
46,15,"E:Error, pkgProblemResolver::Resolve generated breaks, this may be caused by held packages",https://askubuntu.com/questions?tab=frequent&page=12
4,16,Is Ubuntu compatible with my hardware? [duplicate],https://askubuntu.com/questions?tab=frequent&page=12
236,17,How to understand the Ubuntu file system layout?,https://askubuntu.com/questions?tab=frequent&page=12
257,18,Can I move the Unity launcher?,https://askubuntu.com/questions?tab=frequent&page=12
50,4,error: file '/grub/i386-pc/normal.mod' not found,https://askubuntu.com/questions?tab=frequent&page=13
855,5,How to enable or disable services?,https://askubuntu.com/questions?tab=frequent&page=13
624,6,What is the correct way to completely remove an application?,https://askubuntu.com/questions?tab=frequent&page=13
231,7,How do I install different (upgrade or downgrade) PHP version in still supported Ubuntu release?,https://askubuntu.com/questions?tab=frequent&page=13
137,8,Uninstall GRUB and use Windows bootloader,https://askubuntu.com/questions?tab=frequent&page=13
34,9,How to install Ubuntu on portable external Hard Drive?,https://askubuntu.com/questions?tab=frequent&page=13
186,10,Difference between the i386 download and the amd64?,https://askubuntu.com/questions?tab=frequent&page=13
17,11,"Removed Python 3 and now Ubuntu Software Center, terminal and other applications don't work",https://askubuntu.com/questions?tab=frequent&page=13
4,12,Why Doesn't a Bootable USB Boot,https://askubuntu.com/questions?tab=frequent&page=13
73,13,How to restore a system after accidentally removing all kernels?,https://askubuntu.com/questions?tab=frequent&page=13
60,14,How do I check the integrity of a storage medium (hard disk or flash drive)? [duplicate],https://askubuntu.com/questions?tab=frequent&page=13
138,15,What Custom Launchers and Unity Quicklists are available?,https://askubuntu.com/questions?tab=frequent&page=13
168,16,How do I add swap after system installation?,https://askubuntu.com/questions?tab=frequent&page=13
56,17,How do I remove Windows but keep Ubuntu?,https://askubuntu.com/questions?tab=frequent&page=13
369,18,How do I change my username?,https://askubuntu.com/questions?tab=frequent&page=13
295,4,I have 16GB RAM. Do I need 32GB swap?,https://askubuntu.com/questions?tab=frequent&page=14
79,5,What does “Package <package> has no installation candidate” mean?,https://askubuntu.com/questions?tab=frequent&page=14
65,6,How can I boot with an older kernel version?,https://askubuntu.com/questions?tab=frequent&page=14
22,7,Failed to download repository information due to missing CDROM,https://askubuntu.com/questions?tab=frequent&page=14
275,8,Boot drops to a (initramfs) prompts/busybox,https://askubuntu.com/questions?tab=frequent&page=14
49,9,How do I get permissions to edit system configuration files?,https://askubuntu.com/questions?tab=frequent&page=14
32,10,Is the 64-Bit version of Ubuntu only compatible with AMD CPUs?,https://askubuntu.com/questions?tab=frequent&page=14
260,11,How do I remap certain keys or devices?,https://askubuntu.com/questions?tab=frequent&page=14
168,12,If I build a package from source how can I uninstall or remove completely?,https://askubuntu.com/questions?tab=frequent&page=14
387,13,How do I configure swappiness?,https://askubuntu.com/questions?tab=frequent&page=14
113,14,How can I uninstall a nvidia driver completely ?,https://askubuntu.com/questions?tab=frequent&page=14
147,15,How to enable root login?,https://askubuntu.com/questions?tab=frequent&page=14
170,16,How do I run executable scripts in Nautilus?,https://askubuntu.com/questions?tab=frequent&page=14
31,17,Windows installer for Ubuntu 14.04 LTS onwards,https://askubuntu.com/questions?tab=frequent&page=14
63,18,How do I enable hardware virtualization technology (VT-x) for use in Virtualbox?,https://askubuntu.com/questions?tab=frequent&page=14
153,4,Running programs in the background from terminal,https://askubuntu.com/questions?tab=frequent&page=15
271,5,fsck error on boot: /dev/sda6: UNEXPECTED INCONSISTENCY; RUN fsck MANUALLY,https://askubuntu.com/questions?tab=frequent&page=15
208,6,Why is it bad to log in as root?,https://askubuntu.com/questions?tab=frequent&page=15
127,7,What's the easiest way to set up a LAMP stack?,https://askubuntu.com/questions?tab=frequent&page=15
116,8,How do I reset GNOME to the defaults?,https://askubuntu.com/questions?tab=frequent&page=15
68,9,Move home folder to second drive,https://askubuntu.com/questions?tab=frequent&page=15
98,10,Virtualbox Kernel driver not installed [duplicate],https://askubuntu.com/questions?tab=frequent&page=15
103,11,What is the difference between “gksudo nautilus” and “sudo nautilus”?,https://askubuntu.com/questions?tab=frequent&page=15
218,12,How do I set the grub timeout and the grub default boot entry?,https://askubuntu.com/questions?tab=frequent&page=15
204,13,How to install Eclipse?,https://askubuntu.com/questions?tab=frequent&page=15
264,14,How to modify an invalid '/etc/sudoers' file?,https://askubuntu.com/questions?tab=frequent&page=15
34,15,How can I install a Canon printer or scanner driver?,https://askubuntu.com/questions?tab=frequent&page=15
575,16,Why crontab scripts are not working?,https://askubuntu.com/questions?tab=frequent&page=15
154,17,Whats the simplest way to edit and add files to “/var/www”?,https://askubuntu.com/questions?tab=frequent&page=15
71,18,How to share files through the local network?,https://askubuntu.com/questions?tab=frequent&page=15
47,4,How do I enter a file or directory with special characters in its name?,https://askubuntu.com/questions?tab=frequent&page=16
278,5,How can I set up password-less SSH login?,https://askubuntu.com/questions?tab=frequent&page=16
105,6,Blank screen after installing nvidia restricted driver,https://askubuntu.com/questions?tab=frequent&page=16
7,7,How to download all required Ubuntu drivers,https://askubuntu.com/questions?tab=frequent&page=16
1032,8,“The following packages have been kept back:” Why and how do I solve it?,https://askubuntu.com/questions?tab=frequent&page=16
131,9,How to install Flash player on Ubuntu?,https://askubuntu.com/questions?tab=frequent&page=16
33,10,How can I check the integrity of a downloaded Ubuntu CD?,https://askubuntu.com/questions?tab=frequent&page=16
220,11,How do you run Ubuntu Server with a GUI?,https://askubuntu.com/questions?tab=frequent&page=16
192,12,How to fix “W: Duplicate sources.list entry”?,https://askubuntu.com/questions?tab=frequent&page=16
56,13,"My WiFi adapter is not working at all, how to troubleshoot?",https://askubuntu.com/questions?tab=frequent&page=16
60,14,How to read ext4 partitions in Windows? [closed],https://askubuntu.com/questions?tab=frequent&page=16
35,15,How to install the Boot-Repair tool in an Ubuntu live disc?,https://askubuntu.com/questions?tab=frequent&page=16
8,16,How to change boot priority?,https://askubuntu.com/questions?tab=frequent&page=16
444,17,What is “dist-upgrade” and why does it upgrade more than “upgrade”?,https://askubuntu.com/questions?tab=frequent&page=16
309,18,How can I stop being prompted to unlock the 'default' keyring on boot?,https://askubuntu.com/questions?tab=frequent&page=16
397,4,How do I run .sh scripts?,https://askubuntu.com/questions?tab=frequent&page=17
173,5,How to increase swap space?,https://askubuntu.com/questions?tab=frequent&page=17
43,6,Is my ATI graphics card supported in Ubuntu?,https://askubuntu.com/questions?tab=frequent&page=17
107,7,No more updates for Google Chrome 32-bit,https://askubuntu.com/questions?tab=frequent&page=17
34,8,System freezes completely with Intel Bay Trail,https://askubuntu.com/questions?tab=frequent&page=17
209,9,How do I create a desktop wallpaper slideshow?,https://askubuntu.com/questions?tab=frequent&page=17
121,10,What's the easiest way to run GUI apps on Windows Subsystem for Linux as of 2018?,https://askubuntu.com/questions?tab=frequent&page=17
81,11,How to extend my root (/) partition?,https://askubuntu.com/questions?tab=frequent&page=17
60,12,Ubuntu GNOME 17.04: wi-fi not working — mac address keeps changing?,https://askubuntu.com/questions?tab=frequent&page=17
